Datetime(UTC)	WASD2	NCDV2	LWTV2	GTND2	SGSM2
2017-06-26 15:00:00	3.48	0.1	0.3	4.4	0.2
2017-06-26 16:00:00	3.12	-0.1	0.6	4.04	0.4
2017-06-26 17:00:00	2.46	0.0	1.1	3.41	0.7
2017-06-26 18:00:00	1.67	0.4	1.4	2.62	1.1
2017-06-26 19:00:00	1.02	1.0	1.6	1.94	1.5
2017-06-26 20:00:00	0.52	1.3	1.8	1.44	1.7
2017-06-26 21:00:00	0.16	1.7	1.7	1.08	1.8
2017-06-26 22:00:00	-0.13	2.0	1.5	0.82	1.8
2017-06-26 23:00:00	-0.13	2.0	1.1	0.75	1.5
2017-06-27 00:00:00	0.59	1.6	0.8	1.44	1.1
2017-06-27 01:00:00	1.9	1.2	0.6	2.82	0.8
2017-06-27 02:00:00	2.99	0.9	0.5	3.94	0.6
2017-06-27 03:00:00	3.31	0.7	0.5	4.23	0.5
2017-06-27 04:00:00	3.18	0.4	0.7	4.17	0.6
2017-06-27 05:00:00	2.72	0.3	1.1	3.71	1.0
2017-06-27 06:00:00	2.0	0.7	1.5	2.99	1.4
2017-06-27 07:00:00	1.28	1.1	1.9	2.26	1.8
2017-06-27 08:00:00	0.75	1.6	2.2	1.71	2.0
2017-06-27 09:00:00	0.46	2.0	2.2	1.41	2.2
2017-06-27 10:00:00	0.26	2.2	2.0	1.21	2.1
2017-06-27 11:00:00	0.33	2.2	1.6	1.21	1.9
2017-06-27 12:00:00	0.89	2.0	1.2	1.77	1.5
2017-06-27 13:00:00	1.94	1.6	0.9	2.85	1.1
2017-06-27 14:00:00	3.02	1.2	0.6	3.94	0.8
2017-06-27 15:00:00	3.64	0.7	0.5	4.56	0.5
2017-06-27 16:00:00	3.77	0.4	0.6	4.72	0.4
2017-06-27 17:00:00	3.38	0.2	0.7	4.33	0.6
2017-06-27 18:00:00	2.59	0.3	1.1	3.58	1.0
2017-06-27 19:00:00	1.74	0.7	1.4	2.72	1.4
2017-06-27 20:00:00	1.05	1.3	1.6	2.0	1.7
2017-06-27 21:00:00	0.62	1.6	1.8	1.54	1.9
2017-06-27 22:00:00	0.26	1.9	1.7	1.21	2.0
2017-06-27 23:00:00	0.03	2.1	1.5	0.95	1.8
2017-06-28 00:00:00	0.07	2.0	1.1	0.95	1.5
2017-06-28 01:00:00	0.62	1.6	0.8	1.48	1.1
2017-06-28 02:00:00	1.64	1.2	0.6	2.56	0.8
2017-06-28 03:00:00	2.66	0.8	0.4	3.61	0.6
2017-06-28 04:00:00	3.12	0.5	0.5	4.04	0.5
2017-06-28 05:00:00	3.05	0.3	0.8	4.0	0.7
2017-06-28 06:00:00	2.62	0.4	1.2	3.58	1.0
2017-06-28 07:00:00	1.9	0.7	1.5	2.89	1.4
2017-06-28 08:00:00	1.21	1.3	1.8	2.17	1.8
2017-06-28 09:00:00	0.66	1.6	1.9	1.61	2.0
2017-06-28 10:00:00	0.39	1.9	2.0	1.31	2.1
2017-06-28 11:00:00	0.23	2.1	1.8	1.18	2.0
2017-06-28 12:00:00	0.43	2.1	1.5	1.31	1.7
2017-06-28 13:00:00	1.25	1.8	1.0	2.13	1.3
2017-06-28 14:00:00	2.33	1.4	0.7	3.25	1.0
2017-06-28 15:00:00	3.08	1.0	0.5	4.04	0.6
2017-06-28 16:00:00	3.41	0.6	0.4	4.36	0.4
2017-06-28 17:00:00	3.41	0.3	0.5	4.36	0.5
2017-06-28 18:00:00	3.12	0.2	0.8	4.07	0.7
2017-06-28 19:00:00	2.49	0.4	1.1	3.48	1.1
2017-06-28 20:00:00	1.74	0.8	1.4	2.69	1.5
2017-06-28 21:00:00	1.02	1.3	1.6	2.0	1.7
2017-06-28 22:00:00	0.56	1.6	1.7	1.51	1.9
2017-06-28 23:00:00	0.26	1.9	1.7	1.21	2.0
2017-06-29 00:00:00	0.13	2.1	1.5	1.05	1.8
2017-06-29 01:00:00	0.33	1.9	1.2	1.25	1.5
2017-06-29 02:00:00	1.15	1.6	0.9	2.1	1.1
2017-06-29 03:00:00	2.26	1.2	0.6	3.22	0.8
2017-06-29 04:00:00	3.08	0.8	0.5	4.07	0.6
2017-06-29 05:00:00	3.38	0.5	0.5	4.36	0.6
2017-06-29 06:00:00	3.28	0.4	0.8	4.27	0.7
2017-06-29 07:00:00	2.92	0.5	1.1	3.9	1.1
2017-06-29 08:00:00	2.36	0.8	1.5	3.35	1.4
2017-06-29 09:00:00	1.71	1.3		2.72	1.7
2017-06-29 10:00:00	1.15	1.6		2.13	1.9
2017-06-29 11:00:00	0.79			1.77	
2017-06-29 12:00:00	0.59			1.57	
